,type,fact_check_url,archieve,news_url,news_url2,news_url3,news_url4,news_url5,title,newstitle,content,abstract,publish_date,meta_keywords
671,post,https://www.politifact.com/factchecks/2020/may/28/tom-tiffany/tiffany-wrong-claim-officials-dont-want-wisconsini/,,https://twitter.com/TomTiffanyWI/status/1265248726215528449,,,,,Says the state “health secretary says don’t go to hospitals or clinics now the tourism secretary says don’t recreate.”,"""""",we 've detected that javascript is disabled in your browser. would you like to proceed to legacy twitter. ,,,""""""
672,post,https://factcheck.afp.com/misleading-image-used-claim-vaccines-are-dangerous?fbclid=IwAR2jEvOXSaQMj4Det-Q8r62YzVE4JDeOxu0jCKIzTe41YGH1dVuWM8o2x8c,https://perma.cc/W9NA-WS3V,https://www.facebook.com/vaccineinfo/photos/a.10154304705070891/10158545443310891/?type=3&theater,,,,,An image shared on social media claims vaccines are dangerous because they contain potassium chloride the chemical used to stop the heart in lethal injections.,"""Dr. Tenpenny on Vaccines and Current Events""",see more of dr. tenpenny on vaccines and current events on facebook. ,just some ingredients in vaccines. cdc links at the bottom of list alcohol disinfectant 2-phenoxyethanol antifreeze aluminum neurotoxin .... ,,""""""
673,post,https://www.politifact.com/factchecks/2020/may/28/facebook-posts/covid-19-virus-not-bacterium/,,https://www.facebook.com/shymeek.carter.5/posts/938231903318764,,,,,Italy “went against the WHO’s ‘law’” against COVID-19 autopsies and “discovered covid is not a virus but a bacterium” that “clots the blood and reduces the oxygen saturation.”,"""La Carter""",see more of la carter on facebook. ,italy has allegedly discovered covid is not a virus but a bacterium. it clots the blood and reduces the oxygen saturation from dispersing throughout the .... ,,""""""
674,,https://www.politifact.com/factchecks/2020/jun/04/tim-murtaugh/theres-no-data-back-claim-skyrocketing-suicides-du/,,,,,,,“You see suicide rates are skyrocketing now…” in the United States.,,,,,
675,post,https://www.politifact.com/factchecks/2020/may/27/donald-trump/trump-said-pa-rep-conor-lamb-backed-nancy-pelosi-h/,,https://twitter.com/realDonaldTrump/status/1265257673039249408?s=20,,,,,“[U.S. Rep. Conor Lamb] said he would NOT vote for [Nancy Pelosi] for Speaker and did.”,"""""",we 've detected that javascript is disabled in your browser. would you like to proceed to legacy twitter. ,,,""""""
676,article,https://healthfeedback.org/claimreview/the-main-cause-of-death-in-covid-19-patients-is-respiratory-insufficiency-arising-from-viral-pneumonia-not-clotting-disorder-as-claimed-in-viral-social-media-posts/,http://archive.vn/2Y1CB,https://www.gistflash.com/discovery-autopsies-prove-that-covid-19-is-a-disseminated-intravascular-coagulation-pulmonary-thrombosis/lifestyle/health/,,,,,Autopsies performed in Italy showed that COVID-19 is not pneumonia but a blood clotting disorder (disseminated intravascular coagulation). Doctors have been treating COVID-19 wrongly because ventilators and intensive care units were never needed; COVID-19 should instead be treated with antibiotics anti-inflammatories and anticoagulants.,"""""",the page you requested does not exist or has moved .. ,,,""""""
677,post,https://www.factcheck.org/2020/05/covid-19-isnt-caused-by-bacteria/,,https://www.facebook.com/846069605754164/posts/1129236544104134,,,,,COVID-19 is a bacterium that is easily treated with aspirin or a coagulant.,"""Log In or Sign Up to View""",you must log in to continue .. ,,,""""""
678,post,https://healthfeedback.org/claimreview/facebook-posts-misinterpret-a-study-of-455-contacts-of-an-asymptomatic-covid-19-carrier-to-claim-that-asymptomatic-spread-does-not-occur/,http://archive.vn/2oZcJ,https://www.facebook.com/informedmamawolf/photos/a.100297821472317/161267725375326/?type=3,,,,,A study of 455 contacts of an asymptomatic carrier showed that none of the 455 were infected. The results prove that asymptomatic people cannot transmit COVID-19 and masks are therefore unnecessary. Some also claim that this shows COVID-19 is not contagious.,"""Mama Wolf""",see more of mama wolf on facebook. ,so ... either the rona is nt as contagious as they would like you to believe or the false positives are outta control ........ ,,""""""
679,post,https://www.politifact.com/factchecks/2020/may/27/viral-image/no-photo-doesnt-show-gretchen-whitmer-breaking-soc/,,https://www.facebook.com/photo.php?fbid=2924644084323331&set=a.1899305843523832&type=3&theater,,,,,A photo shows Gov. Gretchen Whitmer “on Mackinaw Island today ignoring mask and social distancing rules.”,"""Terry Wallace""",see more of terry wallace on facebook. ,,,""""""
680,post,https://checkyourfact.com/2020/05/22/fact-check-donald-trump-tweet-some-oldies-die/,,https://www.facebook.com/danielle.johnson11/posts/10220209936332395,,,,,President Donald Trump tweeted “Some oldies will have to die. We’re in God’s hands folks! Liberate America!”,"""Log In or Sign Up to View""",do you want to join facebook ?. ,,,""""""
681,post,https://healthfeedback.org/claimreview/to-date-no-therapy-has-been-proven-effective-for-preventing-or-treating-covid-19-contrary-to-claim-by-dolores-cahill/,http://archive.vn/0Zd0O,https://www.facebook.com/watch/?v=551012122274478,,,,,Dolores Cahill claims in an interview on TheHighWire that there is already a preventive strategy and treatment for COVID-19 through “nutrition vitamins and hydroxychloroquine” therefore social distancing is unnecessary.,"""GOOD NEWS: “YOU’RE IMMUNE TO COVID”""",why are covid cases still going up ?. ,good news you re immune to covid top immunologist prof. dolores cahill who has studied coronaviruses for years explains once you ve had the novel .... ,,""""""
682,post,https://www.politifact.com/factchecks/2020/may/27/viral-image/no-crucifixion-photo-doesnt-show-pandemic-proteste/,https://archive.fo/rnfjI,https://www.facebook.com/photo.php?fbid=2593651360908474&set=a.1376598575947098&type=3&theater,,,,,A photo shows three men on crosses who “feel like they’re being crucified by being required to stay at home.”,"""Ben Gilberti""",see more of ben gilberti on facebook. ,they feel like they 're being crucified by being required to stay at home. hence they 're protesting in this manner. ,,""""""
683,post,https://checkyourfact.com/2020/05/21/fact-check-tasuku-honjo-coronavirus-engineered-chinese-lab/,,https://www.facebook.com/photo.php?fbid=3009764385748600&set=a.1753089278082790&type=3&theater,,,,,Japanese Nobel laureate Dr. Tasuku Honjo said the new coronavirus was engineered in a Chinese laboratory.,"""Shahid Islam""",see more of shahid islam on facebook. ,breaking news nobel laureate immunologist accuses china of inventing corona its as damning an indictment as it could be stretched to ..... ,,""""""
684,post,https://checkyourfact.com/2020/05/21/fact-check-myrtle-beach-south-carolina-220000-coronavirus-cases/,,https://www.facebook.com/mariah.brandon.7/posts/10213490122766025,,,,,Myrtle Beach South Carolina reported 220000 new coronavirus cases in 72 hours.,"""Mariah Brandon""",see more of mariah brandon on facebook. ,"myrtle beach got 220,000 new cases in 72 hrs. all y all gone die since this going up. i make affordable custom wigs and installs can be included ..... ",,""""""
685,article,https://www.politifact.com/factchecks/2020/jun/13/andrew-cuomo/new-yorks-nursing-home-policy-was-not-line-cdc/,,https://www.rev.com/blog/transcripts/andrew-cuomo-new-york-may-20-covid-19-press-conference-transcript,,,,,“Why did the state do that with COVID patients in nursing homes? It’s because the state followed President Trump’s CDC guidance.”,"""Andrew Cuomo New York May 20 COVID-19 Press Conference Transcript""",andrew cuomo 25:32 a good way to start the day. from my left we have budget director robert mujica always smiling because that is our financial forecast its all smiles. melissa derosa secretary to the governor. from my far right we have dr. james inaudible 00:00:25:50 dr. howard zucker. to my immediate right mariah kennedy cuomo who is on special volunteer assignment for the state working for her father a very pleasant boss. were a little sad today mariah and i because th. ,governor andrew cuomo held his daily new york coronavirus press conference on wednesday may 20. cuomo said the majority of coronavirus spread is in low income communities. read the full speech transcript here. ,,""""""
686,post,https://www.politifact.com/factchecks/2020/may/27/facebook-posts/michigan-gov-whitmer-did-not-spend-may-20-her-vaca/,https://archive.fo/Uj1Mm,https://www.facebook.com/photo.php?fbid=2531643207149041&set=a.1393328120980561&type=3&eid=ARDUTqYrrdvkV9CZhoI89QJio8PJ40N5w0w2yNdPFKavJdP4Hm5rQrgWKc_HGkJ1p-lkMG1YyYhMvxRe&__xts__[0]=68.ARAAmeciwZLYmtcvtcZ3l6IAsfHV00XpaNdfMwEVIh52jaRcxiBBWCBLF52Iy359cxjtdGbQcixn4Kn-rfZuLLg5Dqo3E7inU-SHzWfNUwchdIJV1grEY2i65FjpBUPFj52zhObJv3c7u96vQ035gBoxoH1WYyF7RvcECyZPEJScgiypNTQ9nU_xBXjyXDI-jAex_8qEcB52Q0RRMUN_5ixUylV0xZ62NzuxHHqTijEHJamz3EW5vtNzsduQNKOM8X76ADO7ECmLXA,,,,,Michigan Gov. Gretchen Whitmer’s family spent May 20 at her second home breaking her own stay-at-home orders.,"""Randy Bishop""",see more of randy bishop on facebook. ,evidently gov. whitmer 's stay home stay safe executive orders do n't apply to her family. two 2 vehicles at her 2nd upnorth cottage in antrim .... ,,""""""
687,post,https://checkyourfact.com/2020/05/20/fact-check-anthony-fauci-clinton-foundation-board-20-years/,,https://www.facebook.com/mollyhedie/posts/2955794551183018,,,,,Top White House coronavirus adviser Dr. Anthony Fauci served on the Clinton Foundation’s board of directors for 20 years.,"""Molly Holland Edie""",see more of molly holland edie on facebook. ,whoa. dr fauci was on clinton foundation board for 20 yrs. currently serves on gates foundation. investigatefauci. ,,""""""
688,post,https://www.politifact.com/factchecks/2020/may/29/facebook-posts/michigan-governor-didnt-have-family-event-reopened/,,https://www.facebook.com/judy.szymanski.1/posts/3269456533072859,,,,,Michigan governor reopened Traverse City “so she could have her daughter’s open house.”,"""Judy Szymanski""",see more of judy szymanski on facebook. ,so the governor opened up traverse city so she could have her daughter 's open house this weekend imagine that. ,,""""""
689,post,https://checkyourfact.com/2020/05/20/fact-check-los-angeles-county-barbara-ferrer-looking-sickly/,,https://www.facebook.com/DrRashidAButtar/photos/a.2186315201399514/3253246041373086/?type=3&__tn__=-R,,,,,The image shows Los Angeles County Department of Public Health Director Dr. Barbara Ferrer looking sickly.,"""Dr. Rashid A. Buttar""",g censored. do nt we want the truth. or is the truth not convenient enough. if you ca nt explain why a video of the doctors dealing with this idiocy on the front lines is being censored and you still believe this bs wake the f&%$ up. we have paralyzed the world over fear of something that has caused supposedly 0.26 death assuming those numbers are accuratethey are about as accurate as the baseball pitched by dr. fauci at the national yankees opener. do you really understand what that. ,dr. rashid a. buttar added a new photo. ,,""""""
690,post,https://checkyourfact.com/2020/05/20/fact-check-flu-vaccines-people-test-positive-coronavirus/,,https://www.facebook.com/karen.luke.1654/posts/1603509083137415,,,,,People who have received flu vaccines in the past three to five years will “probably test positive” for COVID-19.,"""Karen Luke""",see more of karen luke on facebook. ,,,""""""
691,article,https://www.politifact.com/factchecks/2020/may/20/facebook-posts/no-specific-covid-19-vaccine-experimental-or-other/,,https://www.wakingtimes.com/2020/05/15/bill-gates-explains-that-the-covid-vaccine-will-use-experimental-technology-and-permanently-alter-your-dna/?fbclid=IwAR3FVn1azdOQDqdSWacrONgdS3n5Ezv9w1TFbSWHiYKOvIWn1zA_xtfPy1M,,,,,“Bill Gates Explains That The COVID Vaccine Will Use Experimental Technology And Permanently Alter Your DNA”.,"""403 Forbidden""",,,,""""""
692,post,https://www.factcheck.org/2020/06/meme-misrepresents-faucis-position-on-vaccine-trials/,https://web.archive.org/web/20200501213134/https://www.facebook.com/cocoabeachflorida7/posts/10207422357073105,https://www.facebook.com/cocoabeachflorida7/posts/10207422357073105,https://www.facebook.com/AmericanConservativeVoice/photos/a.175977876146992/879563632455076/?type=3&theater,https://www.facebook.com/JudyDQ/posts/2977561859000710,,,Dr. Anthony Fauci said: “as soon as a COVID-19 vaccine is manufactured it must be delivered to healthcare professionals for immediate human injection. Proper studies can be done later.”,"""Eric Olson""",see more of eric olson on facebook. ,,,""""""
693,post,https://www.factcheck.org/2020/05/facebook-posts-distort-facts-on-trump-actions/,,https://www.facebook.com/698141807656499/posts/732681337535879,https://www.facebook.com/photo.php?fbid=3961182613922742&set=a.3920183494689321&type=3&theater,https://www.facebook.com/photo.php?fbid=10107424498472608&set=a.10100186423163548&type=3&theater,https://www.facebook.com/499554396786126/posts/3825476744193858,https://www.theatlantic.com/magazine/archive/2020/06/qanon-nothing-can-stop-what-is-coming/610567/,President Donald Trump “cancelled” the U.S. House bill on contract tracing and “expelled WHO.”,"""Joshua Tree""",see more of collective action against bill gates. we wo nt be vaccinated. on facebook. ,in just a couple of days donald trump did what many of us expected and knew would happen ... 1. will not allow vaccines to be mandatory. 2. expelled who ..... ,,""""""
694,post,https://checkyourfact.com/2020/05/19/fact-check-germany-send-china-bill-coronavirus-damages/,,https://www.facebook.com/Hindustanfauji/photos/a.328426280670830/1502146096632170/?type=3&theater,,,,,The German government billed China for 130 billion pounds in “coronavirus damages.”,"""Bhagyanagar Hindu Ektha Sena _/\_""",see more of bhagyanagar hindu ektha sena /\ on facebook. ,china started getting consequences from all over the countrys worldishittingbackchina chinesevirus. ,,""""""
695,post,https://checkyourfact.com/2020/05/19/fact-check-nancy-pelosi-china-days-trump-impeachment-acquittal/,,https://www.facebook.com/CaptRandall/posts/10218956573997926,,,,,House Speaker Nancy Pelosi was in Wuhan China six days after “the impeachment HOAX failed.”,"""Randall Thompson""",see more of randall thompson on facebook. ,pelosi was in wouhan china 6 days after the impeachment hoax failed. has anyone bothered to find out what she was doing there. ,,""""""
696,article,https://www.politifact.com/factchecks/2020/may/20/donald-trump/trump-wrong-hydroxychloroquine-studies-only-gave-d/,,https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hes-taking-hydroxychloroquine-to-prevent-coronavirus-in-press-conference,,,,,“If you look at the one (hydroxychloroquine) survey the only bad survey they were giving it to people that were in very bad shape. They were very old. Almost dead.”,"""Donald Trump Says He's Taking Hydroxychloroquine to Prevent Coronavirus in Press Conference""",donald trump 00:00 and a lot of good things have come out about the hydroxy. a lot of good things have come out. and you d be surprised at how many people are taking it especially the frontline workers before you catch it. the frontline workers many many are taking it. i happen to be taking it. i happen to be taking it. donald trump 00:20 i m taking it hydroxychloroquine. right now. yeah. couple of weeks ago i started taking it. because i think its good. i ve heard a lot of good. ,transcript donald trump said today that he started taking hydroxychloroquine a couple of weeks ago and that many front line doctors and workers are taking it. he explained that he 's heard a lot of good stories about it and that he 's not gon na get hurt by it. read the transcript here. ,,""""""
697,post,https://www.politifact.com/factchecks/2020/jun/02/scott-manley/dane-county-reopening-plan-does-not-totally-elimin/,,https://twitter.com/ManleyWMC/status/1262728549175308289,,,,,“The new Dane County lockdown policy… (has) effectively killed Badger football hockey and basketball for 2020.”,"""""",we 've detected that javascript is disabled in your browser. would you like to proceed to legacy twitter. ,,,""""""
698,post,https://www.politifact.com/factchecks/2020/may/20/instagram-posts/new-york-radio-station-misleads-instagram-post-abo/,,https://www.instagram.com/p/CAYa4D8gcHC/?utm_source=ig_embed,,,,,“A lot of people can get an additional $2400” from the CARES Act “and they can do it every month!”,"""Instagram""",,,,""""""
699,article,https://www.politifact.com/factchecks/2020/may/29/priorities-usa-action/democratic-super-pac-uses-familiar-political-play-/,,https://priorities.org/press/priorities-usa-action-launches-new-tv-and-digital-ads-linking-coronavirus-devastation-to-trumps-failure-to-lead-on-response/,,,,,Claim that President Donald Trump is trying to make $451 billion in Medicare cuts “in the middle of a deadly pandemic.”,"""403 Forbidden""",you do n't have permission to access this url. possible causes of this error include the request was forbidden by rules in the .htaccess file. the directory you requested does not have an index.html or index.php file. the permissions on the file or directory are incorrect. for details about why the request was forbidden see the apache error log at. ,,,""""""
700,post,https://checkyourfact.com/2020/05/18/fact-check-world-health-organization-no-vegetarian-contracted-coronavirus/,,https://www.facebook.com/pradeep.saboo.3/posts/2616816111757631,,,,,The World Health Organization (WHO) said that no vegetarian has contracted COVID-19.,"""Pradeep Saboo""",see more of pradeep saboo on facebook. ,no vegetarian is effected by corona. corona requires animal fat in body who. ,,""""""
701,post,https://www.politifact.com/factchecks/2020/may/26/facebook-posts/facebook-post-gets-debt-wrong-comparison-florida-t/,,https://www.facebook.com/DrRashidAButtar/photos/pcb.3253246241373066/3253245964706427/?type=3&theater,https://www.facebook.com/DrRashidAButtar/posts/3253246241373066?__xts__[0]=68.ARBKDfkRHN4yKU_aJAhzW7CpCKVZWlKVURDxinTXY7QhXbrPqS4ffcAn4k2WL1kFag6eX9AVXDcRzS-FbOOaToK-JmAVuAyubA0S7tpSpZGsE7XbyC5mjsZN9NRU2u7I-pKZmtJ_fQAc5R8Og-s6zm1ujN_9y6XOA0TA8LSAJ_2x_28V0pyCcEXrQGunPNRr4IrqE4o94wzSTZvr706JXinTAkZR-7VtzsBbEa3oKwGFkXiF4ER6aie-BOTY2ruf5R3v7WqImRatd1p_woMvAiTshbwAKP1QPxR1Fg5WszuM1vvL815ik9QR-tp-nI33VEjJyw&__tn__=-R,,,,Texas and Florida have a “balanced budget” while California is “in debt $54 billion and New York is “in debt $6.1 billion.”,"""Dr. Rashid A. Buttar""",g censored. do nt we want the truth. or is the truth not convenient enough. if you ca nt explain why a video of the doctors dealing with this idiocy on the front lines is being censored and you still believe this bs wake the f&%$ up. we have paralyzed the world over fear of something that has caused supposedly 0.26 death assuming those numbers are accuratethey are about as accurate as the baseball pitched by dr. fauci at the national yankees opener. do you really understand what that. ,dr. rashid a. buttar added a new photo. ,,""""""
702,post,https://healthfeedback.org/claimreview/hand-held-uv-lights-sold-online-to-kill-microbes-are-effective-only-in-specific-conditions-and-can-be-unsafe-when-used-improperly/,https://archive.fo/EUNPa,https://www.facebook.com/watch/?v=3090048854360072,,,,,UV-C lamps can kill 99.99% of all bacteria viruses and mold on any surface in ten seconds yet is 100% safe for humans and pets.,"""Log In or Sign Up to View""",you must log in to continue .. ,,,""""""
703,post,https://checkyourfact.com/2020/05/18/fact-check-oregon-take-children-parents-test-positive-coronavirus/,,https://www.facebook.com/photo.php?fbid=2666248803594886&set=a.1545484785671299&type=3&theater,,,,,Children in Oregon may be taken away if their parent or legal guardian tests positive for COVID-19.,"""Liz Watkins Barton""",see more of liz watkins barton on facebook. ,,,""""""
704,post,https://checkyourfact.com/2020/05/18/fact-check-video-people-celebrating-end-saudi-arabia-coronavirus-lockdown/,,https://www.facebook.com/marzlan/videos/10213343473381565/,,,,,The video shows people celebrating the end of Saudi Arabia’s coronavirus lockdown.,"""Log In or Sign Up to View""",you must log in to continue .. ,,,""""""
705,article,https://healthfeedback.org/computing-forever-interview-with-dolores-cahill-contains-numerous-inaccuracies-about-covid-19-and-vaccines/,https://archive.fo/KpFYh,https://21stcenturywire.com/2020/05/13/interview-debunking-the-covid-19-narrative-with-prof-dolores-cahill/,,,,,Dolores Cahill in Computing Forever interview claims that taking vitamins C and D as well as zinc boosts the immune system against COVID-19 that hydroxychloroquine has been proven effective against COVID-19 and that COVID-19 patients who recover are immune for life among others.,"""403 Forbidden""",,,,""""""
706,article,https://healthfeedback.org/claimreview/no-evidence-that-using-a-face-mask-helps-coronavirus-enter-the-brain-contrary-to-claim-by-russell-blaylock/,https://archive.is/BSPgc,https://www.sciencetimes.com/articles/25713/20200518/wearing-face-masks-potentially-harmful-trap-exhaled-viruses-well-individuals.htm,,,,,New evidence shows wearing a face mask can help coronavirus enter the brain and pose more health risk.,"""Are Face Masks Effective Against COVID-19? The Pros and the Cons""",first it was gloves that health professionals deemed as potentially hazardous now face masks also face the same critique as a health expert dr. russell blaylock says it poses serious health risks for wearers. mainstream doctors however say otherwise. blaylock a retired u.s. neurosurgeon and author cautions that face masks can not entirely protect you from getting sick and catching pathogens. he adds that it can also pose a serious health risk for wearers. he stresses that only ill people s. ,first it was gloves that health professionals deemed as potentially hazardous now face masks also face the same critique as a health expert dr. russell blaylock says it poses serious health risks for wearers. click the link above to learn more. ,2020-05-18T00:17:00-04:00,"""face mask, Face masks, PPE, coronavirus"""
707,article,https://factcheck.afp.com/un-falsely-accused-demanding-ecuador-legalize-abortions-get-covid-19-aid,https://perma.cc/6XU5-LPHD,https://www.lifenews.com/2020/05/18/un-refuses-to-send-coronavirus-funds-to-pro-life-nation-unless-it-legalizes-abortions/?fbclid=IwAR2xqXhzVakPeiVhAce9-sy4pT1l-bQ-PnG0LvOXoo0Cnj2IP2FWbRpzy_w,,,,,An article claims that a nearly $50 million United Nations humanitarian aid package to Ecuador is conditional on the South American country legalizing abortions.,"""403 Forbidden""",,,,""""""
708,post,https://www.politifact.com/factchecks/2020/may/22/facebook-posts/no-california-gov-gavin-newsom-hasnt-been-vacation/,,https://www.facebook.com/FrontlineUSA/posts/595805844382034,,,,,“While California is dying … Gavin (Newsom) is vacationing in Stevensville MT!”,"""Frontline America with Ben Bergquam""",th is truth. does nt change no matter how much you want it to. love you tony. cold is cold. hot is hot. up is up. down is down. tru. ,while california is dying not because of covid but because of the newsom democrat lockdown i hear gavin is vacationing in stevensville mt. can anyone .... ,,""""""
709,post,https://www.politifact.com/factchecks/2020/may/27/facebook-posts/americans-have-died-flu-and-covid-19/,https://archive.fo/V14Ts,https://www.facebook.com/john.formato/posts/10223252134947731,,,,,The flu didn’t kill any Americans this year.,"""Log In or Sign Up to View""",you must log in to continue .. ,,,""""""
710,post,https://www.politifact.com/factchecks/2020/may/21/facebook-posts/disposable-homemade-masks-are-effective-stopping-a/,,https://www.facebook.com/photo.php?fbid=881073029079100&set=a.122330141620063&type=3&theater,,,,,Says a warning label on a box of disposable masks shows that they are ineffective at protecting against the spread of COVID-19.,"""Log In or Sign Up to View""",do you want to join facebook ?. ,,,""""""
711,post,https://www.politifact.com/factchecks/2020/may/29/facebook-posts/no-ohio-gov-mike-dewine-did-not-release-4300-priso/,https://archive.fo/zk0aA,https://www.facebook.com/joehirsch845/posts/3202178833165854,,,,,Ohio Gov. Mike DeWine released 4300 prisoners and is now warning residents of a possible crime wave.,"""Joseph Hirsch""",see more of joseph hirsch on facebook. ,"ohio governor released 4,300 prisoners today. now he is warning residents of possible crime wave. seriously you ca n't fix stupid. ",,""""""
712,post,https://www.factcheck.org/2020/05/outdated-fauci-video-on-face-masks-shared-out-of-context/,,https://www.facebook.com/watch/?v=588866298398729,,,,,Video shows Dr. Anthony Fauci advising the public not to wear face masks to prevent spreading or being infected by the coronavirus.,"""Dr. Anthony Fauci: ""There's no reason to be walking around with a mask.""""",the bs behind the badge and the courage to wear it with honor. ,infectious disease expert dr. anthony fauci tells 60 minutes there 's no reason to be walking around with a mask. 60 minutes. ,,""""""
713,post,https://healthfeedback.org/claimreview/mortality-in-the-u-s-noticeably-increased-during-the-first-months-of-2020-compared-to-previous-years/,http://archive.vn/4tmoh,https://www.facebook.com/realCandaceOwens/posts/3759777134093460,,,,,Candace Owens claimed that the U.S. is not losing “tons more lives” in 2020 compared to 2019 and that the “increase [in mortality in 2020 is] virtually non-existent”.,"""Candace Owens""",st and founder of prageru joins candace this week to discuss why the left is a force for chaos and how leftism destroys the principles that are fundamental to a good society. in case you missed it. dennis prager nationally syndicated radio ho. ,there is no empirical data to support the extension of these lockdowns. none whatsoever. business owners should sue. ,,""""""
714,post,https://factcheck.afp.com/post-falsely-claims-there-were-no-us-flu-deaths-during-covid-19-crisis,https://perma.cc/RH4T-88P7,https://www.facebook.com/john.formato/posts/10223252134947731,,,,,A Facebook post shared 10000 times claims no Americans died from the flu in 2020 suggesting that the national count of COVID-19 fatalities is exaggerated.,"""Log In or Sign Up to View""",you must log in to continue .. ,,,""""""
715,article,https://www.politifact.com/factchecks/2020/may/21/kimberly-lightford/no-novel-coronavirus-was-not-man-made/,,https://www.fox32chicago.com/video/684867,,,,,The novel coronavirus was “man-made.”,"""Flannery Fired Up: Former Illinois Gov. Jim Edgar on Pritzker's handling of COVID-19""",do not sell my personal information this material may not be published broadcast rewritten or redistributed. 2020 fox television stations. ,let 's get fired up !. ,15-May,""""""
716,post,https://factcheck.afp.com/misleading-social-media-posts-claim-adverse-health-effects-face-masks,https://perma.cc/2EKH-GY2E,https://www.facebook.com/photo.php?fbid=10158470775046064&set=a.10151649675336064&type=3&theater,https://www.facebook.com/photo.php?fbid=3227481127316077&set=a.489799097750974&type=3&theater,https://www.facebook.com/photo.php?fbid=3465298460199858&set=gm.2640652286261808&type=3&theater,,,Posts shared thousands of times on social media list a number of adverse health effects linked to wearing face masks.,"""Kim Hatch""",see more of kim hatch on facebook. ,maybe people will think twice about wearing masks when they read this !. ,,""""""
717,post,https://www.politifact.com/factchecks/2020/may/19/facebook-posts/dr-fauci-didnt-say-americans-should-be-microchippe/,,https://www.facebook.com/worrall/posts/3519234671426561,,,,,Claim thttps://www.politifact.com/factchecks/2020/may/19/facebook-posts/dr-fauci-didnt-say-americans-should-be-microchippe/hat Dr. Fauci said every American should be microchipped.,"""Jim Worrall""",see more of jim worrall on facebook. ,dr. fauci says every american should be microchipped. the only chip going in my body will have salsa on it. ,,""""""
718,article,https://www.politifact.com/factchecks/2020/may/22/blog-posting/italian-government-doesnt-want-arrest-bill-gates/,https://web.archive.org/web/20200521140115/https://www.livenews24.co.za/2020/05/italian-parliament-calls-for-the-arrest-of-bill-gates.html?fbclid=IwAR1Wk80feEMIH7zDoOyYdCCsqywXgPD5oe6NDSEaPZ-Q7FFRUFiOinFMnWc,https://www.livenews24.co.za/2020/05/italian-parliament-calls-for-the-arrest-of-bill-gates.html?fbclid=IwAR1Wk80feEMIH7zDoOyYdCCsqywXgPD5oe6NDSEaPZ-Q7FFRUFiOinFMnWc,,,,,“Italian Parliament Calls For The Arrest of Bill Gates”,"""Italian Parliamentarian Calls For The Arrest of Bill Gates""",if we do a good job with the new vaccines the healthcare and reproductive health we can reduce the population by 10 15 sara cunial who is a member of the italian parliament has delivered a controversial speed where she is calling for the arrest of bill gates. her speech was recorded and the video was later loaded on youtube and is making rounds on social platforms. in her speech cunial denounced all the lies surrounding the plan to combat covid-19 accused bill gates of genocide for bei. ,italian member of parliament sara cunial has made a very serious call to have bill gates arrested for crimes against humanity .. ,,""""""
719,post,https://www.politifact.com/factchecks/2020/may/19/facebook-posts/states-do-use-masks-contain-covid-19-prisons/,,https://www.facebook.com/photo.php?fbid=250706329343395&set=a.105620497185313&type=3&theater,,,,,If masks prevent coronavirus governors would have given them to prison inmates instead of releasing them.,"""Lija Granan""",see more of lija granan on facebook. ,amazing. ,,""""""
720,post,https://www.politifact.com/factchecks/2020/may/19/facebook-posts/hydroxychloroquine-not-proven-treat-covid-19-or-ra/,https://archive.fo/eFYLz,https://www.facebook.com/groups/698141807656499/permalink/725836158220397/,,,,,“Hydroxychloroquine cures this ‘virus.’ It just so happens this is the treatment used for radiation sickness!!”,"""Ashley Bird""",join this group to post and comment .. ,"collective action against bill gates. we wo nt be vaccinated. has 175,734 members. opposing bill gates vaccination roll out of digital identity vaccines .... ",,""""""
721,post,https://factcheck.afp.com/cdc-does-not-add-flu-and-pneumonia-deaths-covid-19-toll,https://perma.cc/2XV7-AXH3,https://www.facebook.com/photo.php?fbid=1334206990098622&set=a.134474800071853&type=3,,,,,A Facebook post shared thousands of times claims the US Centers for Disease Control and Prevention lied about the number of deaths caused by COVID-19 by combining the count with pneumonia and influenza fatalities.,"""Patricia Ann Jennings Fancher""",see more of patricia ann jennings fancher on facebook. ,,,""""""
722,article,https://leadstories.com/hoax-alert/2020/05/fact-check-no-research-if-mouthwash-can-protect-against-covid-19.html,https://web.archive.org/web/20200514200133/https://www.dailymail.co.uk/sciencetech/article-8315269/Commercial-mouthwash-prevent-COVID-19-transmission-scientists-say.html?ito=social-facebook,https://www.dailymail.co.uk/sciencetech/article-8315269/Commercial-mouthwash-prevent-COVID-19-transmission-scientists-say.html?ito=social-facebook&fbclid=IwAR2orKXkFmgWbJx0OY5QehYKXx2FGMTcni1o-kBwwyU2bpZEAu38IYeDd7A,,,,,Research proves that commercial mouthwash could protect against COVID-19.,"""Mouthwash could prevent COVID-19 transmission, scientists say""",mouthwash has the potential to protect against covid-19 infection by killing the coronavirus before it can infect human cells according to a new report. coronaviruses belong to the class of enveloped viruses meaning they are covered by a fatty layer that is vulnerable to certain chemicals. a team of international researchers say mouthwash could destroy the outermost layer or envelope of the virus preventing its replication in the mouth and throat. the scientists say there is an urgent. ,mouthwash has potential to kill the coronavirus and prevent covid-19 infection according to a new report from virologists lipid specialists and healthcare experts .. ,2020-05-14T12:00:46+0100,"""dailymail,sciencetech,Coronavirus"""
